,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,NoOfContacts,PrevAttempts,Outcome,CarInsurance,Duration,age_group,duration_status,Month,Job_None,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed
987,1,1.0,0,1,0,0,1,3,0,0,0,109.0,2.0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
988,0,1.0,0,0,1,1,1,3,0,0,0,85.0,0.0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
990,1,3.0,0,2,0,0,1,2,0,0,1,578.0,1.0,1,11,0,0,0,0,0,0,0,0,0,0,1,0
992,1,3.0,0,2,0,0,1,1,1,0,1,294.0,3.0,0,10,0,0,0,0,0,1,0,0,0,0,0,0
993,0,3.0,0,0,0,0,1,1,0,0,1,867.0,0.0,1,5,0,0,0,0,0,0,0,0,0,0,1,0
994,0,3.0,0,0,1,0,1,2,2,0,0,64.0,1.0,0,11,0,0,0,0,0,0,0,1,0,0,0,0
995,0,1.0,0,0,1,0,1,1,0,0,0,318.0,1.0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
996,1,2.0,0,0,0,0,1,2,0,0,0,109.0,3.0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
997,1,1.0,0,1,0,0,1,1,0,0,1,105.0,2.0,0,10,0,0,0,0,1,0,0,0,0,0,0,0
998,0,1.0,0,0,1,1,1,1,0,0,0,803.0,0.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
1000,1,3.0,0,0,1,0,1,2,0,0,0,262.0,1.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1001,1,3.0,0,1,0,0,1,3,0,0,0,335.0,1.0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
1002,0,2.0,0,0,0,0,1,3,0,0,0,224.0,0.0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
1005,1,1.0,0,1,1,0,1,1,0,0,0,50.0,2.0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1006,1,2.0,0,0,0,0,0,1,0,0,0,37.0,4.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1007,1,3.0,0,2,0,0,1,2,0,0,1,130.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1009,0,1.0,0,0,1,0,1,3,4,0,1,884.0,0.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
1010,1,3.0,1,0,0,1,1,1,0,0,0,730.0,0.0,1,7,0,0,0,1,0,0,0,0,0,0,0,0
1011,1,3.0,0,1,1,0,1,32,0,0,0,132.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1012,0,3.0,0,0,0,0,1,3,0,0,0,162.0,1.0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
1013,1,3.0,0,1,0,0,1,1,0,0,1,244.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1014,0,3.0,0,0,1,1,1,2,0,0,1,1103.0,1.0,1,8,0,0,0,0,0,0,0,0,0,0,1,0
1015,1,3.0,0,1,1,0,1,3,0,0,0,34.0,0.0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
1016,1,1.0,0,1,1,0,1,5,3,2,0,18.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1017,1,3.0,0,0,1,0,1,3,0,0,0,351.0,1.0,1,6,0,0,0,0,0,0,0,0,0,0,1,0
1018,1,2.0,0,3,1,0,1,2,0,0,1,984.0,1.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
1019,1,1.0,0,0,1,0,1,2,0,0,0,268.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1020,1,1.0,0,0,1,0,1,3,0,0,0,110.0,1.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1022,1,1.0,0,0,0,1,1,1,0,0,0,378.0,3.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
1024,0,1.0,0,0,0,0,1,3,2,1,1,201.0,0.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
1025,1,3.0,0,0,0,0,1,1,0,0,0,60.0,2.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1026,1,1.0,0,0,0,0,1,1,2,1,1,896.0,4.0,1,10,0,0,0,0,0,0,1,0,0,0,0,0
1027,1,3.0,0,0,0,0,1,2,0,0,0,403.0,2.0,1,8,0,0,0,0,0,0,0,0,0,0,1,0
1030,2,1.0,0,0,1,0,1,1,0,0,0,226.0,1.0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
1031,1,2.0,0,1,0,0,1,4,0,0,1,610.0,3.0,1,8,0,0,0,0,1,0,0,0,0,0,0,0
1032,2,1.0,0,1,0,0,0,1,0,0,1,228.0,3.0,0,10,0,1,0,0,0,0,0,0,0,0,0,0
1034,2,3.0,0,1,1,0,1,1,0,0,1,229.0,2.0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
1035,1,1.0,0,0,0,0,1,2,3,1,1,392.0,4.0,1,7,0,0,0,0,0,0,1,0,0,0,0,0
1036,1,1.0,0,1,0,0,1,2,0,0,1,749.0,1.0,1,11,0,0,0,0,0,0,0,0,0,0,0,1
1037,0,3.0,0,0,0,0,1,3,0,0,1,812.0,1.0,1,7,0,0,0,0,0,0,0,1,0,0,0,0
1038,1,3.0,0,0,0,0,1,1,0,0,1,350.0,1.0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
1039,1,2.0,0,0,0,0,1,3,0,0,0,47.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1040,1,1.0,0,1,0,0,0,5,4,2,1,278.0,4.0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1041,0,1.0,0,0,0,0,1,1,0,0,0,351.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
1042,0,3.0,0,0,0,0,1,1,1,1,1,293.0,1.0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
1043,1,2.0,0,0,1,0,1,2,4,0,0,127.0,1.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
1044,1,2.0,0,0,1,0,0,1,1,0,0,60.0,1.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
1045,2,2.0,0,1,0,0,0,2,0,0,1,163.0,4.0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1046,1,1.0,0,0,1,0,1,8,0,0,0,129.0,2.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
1047,1,1.0,0,0,1,0,1,3,0,0,0,142.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1048,1,3.0,0,0,0,0,1,1,0,0,1,569.0,0.0,1,9,0,0,0,0,0,1,0,0,0,0,0,0
1050,1,1.0,0,1,0,0,0,1,0,0,1,376.0,1.0,1,10,0,1,0,0,0,0,0,0,0,0,0,0
1051,1,3.0,0,0,0,0,1,3,0,0,0,57.0,1.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
1053,0,1.0,0,2,0,0,1,2,0,0,0,99.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1054,0,3.0,0,0,0,0,1,5,0,0,0,220.0,0.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
1055,1,1.0,0,0,0,0,1,6,0,0,0,135.0,2.0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
1056,1,1.0,0,0,1,1,1,1,0,0,0,146.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1057,0,1.0,0,0,0,0,1,1,0,0,0,108.0,0.0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
1058,1,2.0,0,0,0,0,1,2,0,0,0,132.0,1.0,0,8,0,0,0,0,1,0,0,0,0,0,0,0
1059,0,3.0,0,1,0,0,0,1,1,1,0,107.0,1.0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
1060,1,1.0,0,3,1,0,1,20,0,0,0,19.0,1.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1061,0,1.0,0,1,0,1,1,1,0,0,0,98.0,0.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1062,1,2.0,0,2,1,0,1,1,0,0,1,1022.0,1.0,1,11,0,0,1,0,0,0,0,0,0,0,0,0
1064,2,3.0,0,2,0,0,1,1,0,0,1,148.0,4.0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
1065,0,3.0,0,0,0,0,1,1,5,0,1,968.0,0.0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
1070,1,1.0,0,0,1,0,1,1,0,0,0,201.0,3.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1072,1,3.0,0,1,0,0,1,1,4,1,1,103.0,1.0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
1073,1,3.0,0,0,0,0,1,2,0,0,0,530.0,1.0,1,7,0,1,0,0,0,0,0,0,0,0,0,0
1074,1,1.0,0,1,0,0,1,1,1,1,1,404.0,1.0,1,9,0,0,0,0,0,0,0,0,0,0,0,1
1076,1,2.0,0,0,0,0,1,3,3,1,0,101.0,1.0,0,11,0,0,0,0,0,1,0,0,0,0,0,0
1077,1,3.0,0,2,0,0,1,2,6,2,1,467.0,3.0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
1078,1,3.0,0,0,0,0,1,3,0,0,0,121.0,1.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
1079,1,3.0,0,0,0,0,1,3,2,1,1,157.0,1.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
1080,1,1.0,0,0,1,0,0,3,0,0,0,38.0,0.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
1081,0,3.0,0,0,1,0,1,2,0,0,0,201.0,2.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
1083,1,1.0,0,0,1,0,1,3,0,0,1,635.0,2.0,1,7,0,0,0,1,0,0,0,0,0,0,0,0
1084,1,3.0,0,0,1,1,1,1,2,0,1,61.0,1.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
1085,2,3.0,0,3,0,0,1,6,14,1,0,100.0,2.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
1086,0,3.0,0,0,1,0,1,3,0,0,0,163.0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
1087,0,3.0,0,0,0,0,1,2,1,2,1,434.0,1.0,1,9,0,0,0,0,0,1,0,0,0,0,0,0
1088,1,3.0,0,0,0,0,1,3,0,0,0,155.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1089,1,3.0,0,0,0,0,1,1,1,1,0,68.0,4.0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1092,0,1.0,0,0,0,1,1,2,0,0,1,386.0,0.0,1,11,0,0,0,0,0,0,0,0,0,0,1,0
1094,1,1.0,0,0,0,1,1,2,0,0,1,753.0,3.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
1095,0,1.0,0,0,0,0,1,1,0,0,0,48.0,2.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1096,1,1.0,0,0,1,0,1,1,0,0,0,153.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1097,1,1.0,0,0,0,0,1,1,5,0,1,516.0,1.0,1,6,0,0,0,0,0,0,0,0,0,0,1,0
1098,1,1.0,0,1,0,0,1,5,0,0,0,202.0,4.0,0,11,0,0,0,0,0,0,1,0,0,0,0,0
1099,1,2.0,0,0,1,0,1,1,1,0,0,200.0,1.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1100,2,3.0,0,0,0,1,1,3,0,0,0,206.0,2.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
1101,0,1.0,0,1,1,0,1,1,0,0,1,515.0,1.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
1102,0,1.0,0,2,0,0,1,1,0,0,1,274.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
1103,1,1.0,0,0,0,0,1,8,0,0,0,91.0,1.0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
1104,1,1.0,0,0,0,0,1,1,0,0,0,48.0,2.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1105,0,1.0,0,1,0,0,1,2,10,2,1,449.0,0.0,1,11,0,0,0,0,0,0,0,0,0,1,0,0
1106,1,1.0,0,1,0,0,1,2,0,0,1,286.0,3.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1109,1,2.0,0,0,0,0,1,2,0,0,0,316.0,2.0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
1110,1,1.0,0,0,0,0,1,3,0,0,0,60.0,2.0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
1111,1,1.0,0,0,0,1,1,1,0,0,0,112.0,3.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1112,1,1.0,0,0,0,0,1,5,0,0,0,242.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1114,0,1.0,0,3,1,0,1,4,0,0,1,701.0,0.0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
1115,1,3.0,0,0,1,1,1,1,0,0,0,159.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1116,1,1.0,0,1,1,0,1,1,3,1,1,361.0,2.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
1117,2,2.0,0,0,0,0,1,6,0,0,1,463.0,3.0,1,7,0,0,0,0,1,0,0,0,0,0,0,0
1118,1,1.0,0,0,1,0,1,2,0,0,0,291.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1120,1,1.0,0,0,1,1,1,2,0,0,0,57.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1121,0,3.0,0,0,0,0,1,1,0,0,0,122.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1122,2,3.0,0,0,1,1,1,1,4,0,1,984.0,0.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
1123,0,1.0,0,0,1,1,1,2,0,0,0,198.0,1.0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
1126,2,2.0,0,0,1,0,1,1,0,0,0,74.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1127,0,1.0,0,1,1,0,1,1,0,0,1,903.0,0.0,1,7,0,0,0,0,0,0,0,0,0,1,0,0
1128,1,1.0,0,0,1,0,1,1,2,0,0,210.0,0.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1129,2,1.0,0,2,1,0,1,1,0,0,0,133.0,2.0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
1131,1,1.0,0,0,1,1,1,1,1,0,0,114.0,1.0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
1132,1,2.0,0,0,1,0,1,2,0,0,0,156.0,3.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1133,0,3.0,0,1,0,0,1,1,0,0,1,604.0,1.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
1134,0,1.0,0,1,0,0,1,2,0,0,0,204.0,1.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
1135,0,1.0,0,0,0,0,1,2,3,1,1,208.0,0.0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1138,0,3.0,0,2,0,0,1,3,0,0,1,288.0,1.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
1139,1,3.0,0,2,1,0,1,1,5,0,0,397.0,2.0,1,5,0,0,0,1,0,0,0,0,0,0,0,0
1141,1,2.0,0,0,0,0,1,3,0,0,1,663.0,3.0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
1142,0,1.0,0,0,0,0,1,5,0,0,0,245.0,0.0,0,12,0,0,0,0,0,0,0,0,0,1,0,0
1143,1,2.0,0,0,0,0,1,2,0,0,0,132.0,1.0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
1145,0,1.0,0,0,0,0,1,4,0,0,1,1404.0,0.0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
1146,2,1.0,0,0,1,0,1,2,0,0,1,604.0,1.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
1147,1,,0,0,0,0,1,1,6,0,1,464.0,2.0,1,7,1,0,0,0,0,0,0,0,0,0,0,0
1148,1,1.0,0,0,1,0,1,2,4,1,1,271.0,2.0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
1149,0,1.0,0,0,0,0,1,1,2,0,1,184.0,0.0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
1151,2,1.0,0,0,1,0,1,4,0,0,0,126.0,3.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1152,1,2.0,0,0,1,0,1,3,0,0,0,173.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1153,1,1.0,0,0,1,0,1,1,0,0,0,68.0,3.0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
1154,0,1.0,0,0,1,0,1,2,0,0,0,374.0,0.0,1,5,0,0,0,0,0,0,0,0,1,0,0,0
1155,1,1.0,0,0,0,0,1,17,0,0,0,79.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1156,2,1.0,0,0,1,0,1,2,3,0,0,61.0,1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
1158,0,3.0,0,3,0,0,1,1,3,1,1,427.0,0.0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
1159,1,1.0,0,1,1,0,1,4,7,1,1,483.0,1.0,1,7,0,1,0,0,0,0,0,0,0,0,0,0
1161,0,3.0,0,0,0,0,1,5,0,0,1,686.0,1.0,1,8,0,0,0,0,0,1,0,0,0,0,0,0
1162,1,2.0,0,0,1,0,1,2,0,0,0,375.0,3.0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
1163,1,1.0,0,0,1,0,1,3,2,0,0,293.0,1.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
1164,1,1.0,0,0,1,0,1,5,0,0,0,85.0,0.0,0,6,0,0,0,0,0,0,0,0,1,0,0,0
1165,1,3.0,0,0,0,0,1,1,3,2,1,300.0,1.0,0,9,0,0,0,0,0,1,0,0,0,0,0,0
1166,0,2.0,0,0,1,0,1,2,1,2,0,255.0,0.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
1167,0,3.0,0,0,0,0,1,1,0,0,0,112.0,0.0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
1169,1,1.0,0,0,0,0,1,4,0,0,0,89.0,3.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1172,1,3.0,0,0,1,0,1,1,3,0,1,1962.0,2.0,1,9,0,0,0,0,0,1,0,0,0,0,0,0
1174,1,1.0,0,0,1,0,1,12,0,0,0,67.0,2.0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
1175,1,3.0,0,0,1,0,1,3,0,0,1,835.0,2.0,1,6,0,0,0,0,0,0,0,0,0,0,1,0
1180,0,3.0,0,3,0,0,1,1,1,1,1,319.0,1.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
1181,1,1.0,0,0,0,0,1,1,0,0,1,397.0,0.0,1,6,0,1,0,0,0,0,0,0,0,0,0,0
1182,0,3.0,0,0,0,0,0,1,10,1,1,372.0,1.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
1183,1,1.0,0,0,1,0,1,1,0,0,0,226.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1184,1,1.0,0,3,0,0,1,1,0,0,0,124.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1185,1,1.0,0,1,1,0,0,3,0,0,0,109.0,0.0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
1186,1,1.0,0,0,1,1,1,4,0,0,0,141.0,0.0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
1188,1,1.0,0,0,1,0,1,1,2,2,1,603.0,3.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
1189,2,3.0,1,0,0,0,1,1,0,0,1,488.0,1.0,1,5,0,0,0,0,0,0,0,0,0,0,1,0
1191,1,1.0,0,0,0,1,1,1,0,0,1,419.0,2.0,1,10,0,1,0,0,0,0,0,0,0,0,0,0
1192,1,1.0,0,2,0,0,1,1,0,0,0,140.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1193,1,3.0,0,0,0,0,1,1,3,2,1,195.0,1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
1194,1,1.0,0,0,1,0,1,3,0,0,1,444.0,1.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
1195,1,1.0,0,1,0,0,1,1,0,0,0,418.0,1.0,1,6,0,0,0,0,0,1,0,0,0,0,0,0
1196,1,1.0,0,0,0,0,1,2,0,0,0,94.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1197,0,3.0,0,2,0,0,1,4,0,0,0,529.0,1.0,1,6,0,0,0,0,0,0,0,1,0,0,0,0
1198,1,3.0,0,0,1,0,1,9,0,0,0,100.0,1.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
1199,1,1.0,0,2,1,1,1,1,0,0,0,47.0,3.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
1200,1,3.0,0,1,0,0,1,1,0,0,0,75.0,2.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1201,1,1.0,0,0,0,0,1,1,0,0,1,241.0,3.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
1202,2,1.0,0,0,1,0,1,1,0,0,0,252.0,1.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1203,0,1.0,0,0,1,0,1,5,0,0,0,426.0,1.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
1205,1,1.0,0,0,1,0,1,1,0,0,0,76.0,2.0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
1208,1,3.0,0,1,1,0,1,1,0,0,1,500.0,1.0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
1209,0,3.0,0,0,0,0,1,5,0,0,0,454.0,2.0,1,11,0,0,0,0,0,0,0,0,0,0,1,0
1210,0,3.0,0,0,0,0,1,1,1,1,1,352.0,1.0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
1211,0,3.0,0,0,0,1,1,3,0,0,0,202.0,1.0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1213,1,3.0,0,0,0,1,0,2,0,0,0,610.0,3.0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
1214,1,3.0,0,0,0,0,1,6,4,1,1,242.0,1.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
1215,0,1.0,0,0,1,0,1,6,0,0,0,81.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1216,1,1.0,0,1,1,0,1,1,0,0,1,858.0,2.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
1217,1,2.0,0,0,0,0,1,6,0,0,1,1007.0,3.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
1218,1,1.0,0,0,1,0,1,2,2,0,1,231.0,1.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
1219,1,1.0,0,1,1,0,1,1,1,1,0,158.0,1.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
1220,1,3.0,0,0,0,0,1,2,2,0,1,367.0,4.0,1,12,0,0,0,0,0,0,0,1,0,0,0,0
1222,1,3.0,0,0,0,0,1,1,1,0,1,478.0,4.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
1223,1,3.0,0,3,0,0,1,2,9,0,1,519.0,1.0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
1225,1,3.0,0,0,1,0,1,2,2,0,0,169.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
1226,0,1.0,0,0,0,0,0,1,11,1,1,824.0,0.0,1,12,0,0,0,0,0,0,0,0,1,0,0,0
1228,1,1.0,0,0,1,0,1,1,0,0,0,96.0,0.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
1229,1,3.0,0,0,0,0,1,1,0,0,0,70.0,1.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
1230,1,3.0,0,0,1,0,1,1,1,2,1,667.0,2.0,1,10,0,0,0,0,0,1,0,0,0,0,0,0
1231,1,1.0,0,0,0,0,1,5,0,0,0,192.0,0.0,0,8,0,0,0,0,0,0,0,0,1,0,0,0
1232,1,3.0,0,0,0,0,1,1,0,0,1,1000.0,1.0,1,8,0,0,0,0,0,0,0,0,0,0,1,0
1233,1,1.0,0,0,0,0,1,11,0,0,0,84.0,3.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
1234,0,1.0,0,0,1,0,1,2,0,0,0,204.0,0.0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
1235,1,1.0,0,1,0,0,1,4,0,0,1,208.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1236,0,3.0,0,1,0,0,1,2,1,2,1,126.0,1.0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
1237,0,1.0,0,0,1,1,1,1,0,0,1,803.0,0.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
1238,2,3.0,0,0,0,0,1,1,0,0,0,291.0,2.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
1240,1,2.0,0,0,0,0,1,1,0,0,1,516.0,1.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
1241,1,1.0,0,0,1,1,1,2,0,0,0,388.0,1.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
1242,1,1.0,0,0,0,1,1,1,1,0,0,52.0,3.0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
1243,1,1.0,0,1,0,0,1,2,0,0,0,189.0,4.0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
1245,2,1.0,0,0,0,0,1,2,0,0,1,371.0,3.0,1,6,0,0,0,0,0,0,0,0,1,0,0,0
1246,0,3.0,0,3,0,0,1,11,0,0,1,479.0,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1247,1,1.0,0,0,0,0,1,2,1,1,1,255.0,1.0,0,8,0,0,0,0,0,0,0,0,1,0,0,0
1248,0,3.0,0,0,0,0,1,1,0,0,0,105.0,2.0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
1249,1,3.0,0,1,0,0,1,7,0,0,0,188.0,1.0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
1250,1,1.0,0,0,0,0,1,2,0,0,0,175.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
1251,0,3.0,0,0,0,0,1,2,0,0,1,306.0,0.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1252,0,2.0,0,1,1,0,1,1,0,0,0,399.0,0.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
1254,1,2.0,0,2,1,0,1,5,0,0,0,100.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
1255,1,1.0,0,0,1,0,0,9,0,0,0,28.0,1.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
1256,0,1.0,0,0,1,0,1,2,0,0,0,185.0,2.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
1257,0,3.0,0,1,0,0,1,2,0,0,0,520.0,1.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
1259,1,3.0,0,0,1,0,0,9,0,0,0,18.0,2.0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
1260,1,1.0,0,3,1,1,1,2,0,0,0,400.0,1.0,1,11,0,0,0,0,0,0,0,0,1,0,0,0
1262,1,3.0,0,3,0,0,0,2,3,0,1,2184.0,4.0,1,11,0,0,0,0,0,1,0,0,0,0,0,0
1264,1,1.0,0,0,1,0,1,1,1,0,1,371.0,1.0,1,10,0,0,1,0,0,0,0,0,0,0,0,0
1265,0,3.0,0,3,0,0,1,21,0,0,1,253.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1266,1,2.0,0,1,1,0,1,4,0,0,0,68.0,2.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
